GeneID	fed	fed	fed	fed	starved	starved	starved	starved
128up	193	526	126	688	438	142	252	142
14-3-3epsilon	6579	33741	7277	32511	17440	7463	11918	4994
14-3-3zeta	22133	100947	16791	57264	40651	16054	37671	12334
140up	70	227	11	281	247	7	120	8
18w	134	442	77	801	169	213	77	192
26-29-p	645	3803	623	6208	713	158	612	360
2mit	467	911	550	1795	696	201	530	515
2SrRNA:CR45836	601	9668	685	11593	2217	556	3515	1079
312	11	312	91	314	56	69	119	46
4E-T	361	1116	248	1258	606	306	1094	325
4EHP	2426	12267	4059	14734	10384	3624	7732	5167
5-HT1A	606	804	559	2018	1356	1210	425	1090
5-HT1B	63	18	72	28	987	93	345	101
5-HT2A	140	71	268	82	508	1075	238	181
5-HT2B	508	405	331	468	616	1121	531	6482
5-HT7	289	326	364	310	506	908	480	1041
5.8SrRNA:CR40454	512	8062	549	9159	1936	583	2994	755
5PtaseI	320	1025	140	756	868	360	234	264
5SrRNA:CR33353	0	0	1	0	0	1	1	0
5SrRNA:CR33357	0	0	1	0	1	0	3	0
5SrRNA:CR33364	3	1	1	3	0	2	1	1
5SrRNA:CR33378	0	0	0	0	0	0	0	0
5SrRNA:CR33452	0	0	0	0	0	1	0	1
7B2	24983	21661	2717	10219	13593	9556	16638	3676
7SLRNA:CR32864	40	130	17	39	45	97	92	8
825-Oak	3	2	0	0	0	2	0	1
a	204	845	305	877	190	692	231	3526
a10	94	0	1	1	3	3	0	13
A16	75	553	51	483	264	109	206	160
a5	7	0	7	0	4	12	1	40
a6	14	43	23	19	26	19	33	318
Aac11	935	4549	552	3826	1471	1212	1792	568
Aatf	42	226	28	81	45	29	50	19
aay	821	18242	1256	11802	14901	654	9902	6736
ab	452	1903	818	1593	870	708	483	9019
ABCB7	123	743	113	770	509	57	270	259
abd-A	103	13	97	2	182	373	25	294
Abd-B	125	40	310	95	221	424	63	576
Abi	252	890	93	652	522	264	192	230
Abl	325	1579	492	1320	809	921	889	749
abo	49	29	30	74	4	576	3	57
Abp1	125	506	214	1029	338	457	350	85
abs	23	193	28	39	28	61	1	40
ac	3	0	3	0	1	5	0	7
Ac13E	487	1084	248	2629	1831	1118	647	1274
Ac3	638	938	352	1342	1761	937	1371	808
Ac76E	763	420	452	1018	495	1375	419	621
Ac78C	448	1136	201	562	470	491	331	941
acal	14	41	80	22	20	26	11	216
Acam	3	0	11	0	2	17	1	8
ACC	506	6842	477	6678	4125	656	2587	1771
AcCoAS	1523	36627	1142	25565	13289	1083	8236	4737
Ace	1414	4537	946	5112	2009	2062	2609	2432
Acer	44	481	68	717	76	31	18	82
Acf	42	67	49	66	121	247	89	326
achi	87	262	42	140	102	285	26	79
acj6	133	93	233	99	121	521	427	21121
Ack	175	989	168	517	674	220	220	136
Ack-like	119	856	113	447	268	422	209	579
Acn	195	1171	119	1077	835	192	965	159
Acon	1094	5309	935	5777	3310	641	2007	1179
Acox57D-d	104	358	34	690	17	41	70	140
Acox57D-p	29	691	25	346	73	39	6	127
Acp1	2	0	5	2	0	2	1	15
Acp24A4	1605	45	2921	323	25	21	13	64
Acp26Aa	2	0	2	0	4	53	1	6
Acp26Ab	11	1	29	0	8	4	2	15
Acp29AB	6	0	2	0	3	24	0	5
Acp32CD	7	1	0	1	0	0	0	8
Acp33A	1	0	8	0	1	9	0	36
Acp36DE	7	3	20	11	9	32	1	56
Acp53C14a	4	0	2	30	3	15	0	50
Acp53C14b	1	0	2	3	5	10	1	16
Acp53C14c	15	2	7	5	0	6	8	14
Acp53Ea	36	0	3	0	1	22	1	59
Acp54A1	2	0	2	0	0	3	1	2
Acp62F	4	1	3	1	0	11	1	13
Acp63F	4	0	0	4	2	19	0	36
