GeneID	fed	fed	fed	fed	starved	starved	starved	starved
128up	18	17	12	20	15	24	8	23
14-3-3epsilon	185	181	145	148	149	151	179	144
14-3-3zeta	192	188	182	182	181	184	216	183
140up	15	4	9	11	8	7	5	7
18w	35	26	26	34	21	58	7	32
26-29-p	59	79	52	91	36	45	27	45
2mit	56	49	69	71	57	68	30	56
2SrRNA:CR45836	157	163	122	133	160	117	186	144
312	9	9	10	11	2	19	4	21
4E-T	41	37	34	37	35	66	28	37
4EHP	144	169	118	172	141	151	160	130
5-HT1A	75	48	63	66	84	108	32	70
5-HT1B	26	14	25	6	26	58	10	33
5-HT2A	39	10	33	12	36	91	14	43
5-HT2B	86	113	81	93	87	129	80	70
5-HT7	62	23	57	31	58	106	21	56
5.8SrRNA:CR40454	126	159	108	174	163	106	185	131
5PtaseI	37	26	30	34	27	46	17	30
5SrRNA:CR33353	0	0	1	0	0	1	1	0
5SrRNA:CR33357	0	0	1	0	1	0	1	0
5SrRNA:CR33364	3	1	1	3	0	2	1	1
5SrRNA:CR33378	0	0	0	0	0	0	0	0
5SrRNA:CR33452	0	0	0	0	0	1	0	1
7B2	198	165	131	156	141	168	182	125
7SLRNA:CR32864	13	8	12	6	4	14	4	7
825-Oak	3	1	0	0	0	2	0	1
a	52	43	53	55	80	110	22	53
a10	7	0	1	1	3	3	0	6
A16	15	16	13	14	13	26	9	15
a5	7	0	7	0	4	11	1	4
a6	11	18	17	13	9	17	7	20
Aac11	90	99	56	85	64	82	76	69
Aatf	15	9	9	8	6	8	4	10
aay	140	143	108	148	135	96	141	131
ab	105	106	81	104	94	133	95	75
ABCB7	28	34	29	28	31	29	19	35
abd-A	36	9	29	2	43	81	11	40
Abd-B	47	33	49	33	65	102	24	59
Abi	37	38	29	31	27	48	12	37
Abl	73	64	65	59	75	102	55	72
abo	29	6	19	6	4	44	3	15
Abp1	28	16	16	24	11	53	13	37
abs	17	13	18	6	3	28	1	20
ac	3	0	2	0	1	5	0	6
Ac13E	82	63	65	61	73	123	39	84
Ac3	74	61	54	53	70	91	65	65
Ac76E	89	33	55	48	60	88	31	53
Ac78C	67	82	65	79	73	100	56	68
acal	13	32	12	16	18	18	10	18
Acam	3	0	7	0	2	12	1	7
ACC	110	140	84	132	107	96	93	127
AcCoAS	147	173	124	174	130	120	146	120
Ace	92	95	84	110	100	125	99	86
Acer	18	40	20	54	18	25	9	29
Acf	22	6	23	8	27	50	9	38
achi	25	36	17	43	21	44	15	16
acj6	53	27	48	24	61	101	27	39
Ack	23	26	29	26	22	47	9	31
Ack-like	35	27	37	31	32	79	24	51
Acn	42	60	34	44	40	53	45	35
Acon	106	117	89	115	86	87	79	91
Acox57D-d	13	18	12	21	14	26	3	27
Acox57D-p	20	40	14	25	11	24	3	29
Acp1	2	0	1	1	0	2	1	9
Acp24A4	64	22	59	17	18	20	13	42
Acp26Aa	2	0	2	0	2	8	1	4
Acp26Ab	3	1	6	0	2	4	2	8
Acp29AB	5	0	2	0	3	19	0	4
Acp32CD	6	1	0	1	0	0	0	5
Acp33A	1	0	4	0	1	8	0	5
Acp36DE	7	3	9	2	5	22	1	23
Acp53C14a	1	0	2	1	3	10	0	4
Acp53C14b	1	0	2	2	5	5	1	8
Acp53C14c	13	2	7	1	0	4	1	7
Acp53Ea	3	0	3	0	1	5	1	6
Acp54A1	2	0	2	0	0	3	1	2
Acp62F	4	1	3	1	0	11	1	7
Acp63F	3	0	0	1	1	13	0	5
Acp65Aa	2	0	2	2	0	8	1	8
Acp76A	5	0	3	1	4	9	2	7
Acp98AB	1	1	0	2	1	5	0	9
Acph-1	15	14	17	25	13	23	3	23
Acsl	98	169	94	148	86	121	73	90
Act42A	34	29	31	25	37	47	22	25
Act57B	164	97	113	104	169	132	188	117
Act5C	179	180	157	186	158	159	177	141
Act79B	21	14	27	13	2	65	8	19
Act87E	20	11	28	13	39	37	34	33
Act88F	25	3	15	24	5	16	4	21
Actbeta	79	114	65	130	47	68	40	61
Actn	73	76	73	67	77	99	70	67
Actn3	10	0	13	0	4	12	2	17
ACXA	16	1	28	5	9	42	1	33
ACXB	26	1	16	2	7	41	3	22
ACXC	21	0	17	4	15	51	5	26
ACXD	21	2	30	4	13	84	3	24
ACXE	15	2	20	0	16	27	3	23
